C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,DAILY_ENTRIES,DAILY_EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2022,289.0,171.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2022,238.0,181.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/23/2022,433.0,384.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/24/2022,426.0,413.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/25/2022,487.0,427.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/26/2022,410.0,393.0
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/27/2022,415.0,378.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2022,243.0,79.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2022,198.0,88.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2022,402.0,204.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2022,427.0,213.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2022,430.0,207.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2022,391.0,201.0
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/27/2022,363.0,174.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2022,131.0,594.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2022,83.0,723.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2022,214.0,1257.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2022,222.0,1257.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2022,243.0,1332.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2022,222.0,1251.0
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/27/2022,194.0,1121.0
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2022,354.0,699.0
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2022,256.0,803.0
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2022,468.0,1148.0
